method name, noise level, rotation error, translation error, execution time
ge,0,0.00127707,0.00903318,0.00015711
ge,0,0.00198987,0.0938418,0.00015544
ge,0,0.000133741,0.000294791,0.00015464
ge,0,0.00275428,0.0208709,0.00015195
ge,0,0.000266324,0.00206155,0.00015696
ge,0,0.00181248,0.0121182,0.00015701
ge,0,0.058954,1.06188,0.00015486
ge,0,0.00143087,0.0108416,0.00015582
ge,0,0.000752556,0.0109641,0.00015408
ge,0,3.84649e-05,0.00105212,0.00012031
ge,1,0.00237829,0.0146014,8.677e-05
ge,1,0.00315494,0.0297572,7.697e-05
ge,1,0.00284019,0.0794192,0.00012655
ge,1,0.00438917,0.0343794,6.27e-05
ge,1,0.00186834,0.0323766,7.56e-05
ge,1,0.00233937,0.0361898,5.399e-05
ge,1,0.00236356,0.171631,0.0001559
ge,1,0.0430162,2.34853,0.00015578
ge,1,0.000537834,0.0848458,5.8e-05
ge,1,0.00173771,0.212034,6.491e-05
ge,2,0.00579312,0.0758054,0.00015643
ge,2,0.0368519,0.72903,0.00015427
ge,2,0.0162937,0.159794,0.000157
ge,2,0.00380641,0.148797,0.00015469
ge,2,0.00614376,0.03498,7.044e-05
ge,2,0.00773479,0.0545365,0.00015563
ge,2,0.00895808,0.284917,0.00015551
ge,2,0.238739,2.13598,0.00025001
ge,2,0.00717482,0.0262853,9.34e-05
ge,2,0.00473773,0.019219,4.97e-05
ge,3,0.0112261,0.114636,0.00015654
ge,3,0.0116202,0.0711006,0.00015721
ge,3,0.00945019,0.0979323,9.152e-05
ge,3,0.00481356,0.0577732,0.0001554
ge,3,0.00840333,0.0509308,6.113e-05
ge,3,0.0374828,0.0967001,0.00015789
ge,3,0.00737901,0.176843,0.00011758
ge,3,0.00929015,0.0988607,0.000157
ge,3,0.00603965,0.130703,6.93e-05
ge,3,0.00590163,0.133656,7.71e-05
ge,4,0.0125664,0.539511,0.00010666
ge,4,0.00964091,0.128645,0.00010674
ge,4,0.0100277,0.457089,4.633e-05
ge,4,0.0151477,0.268655,0.00015425
ge,4,0.0150659,0.138576,0.00013695
ge,4,0.00527945,0.189419,9.896e-05
